   NID    (HEX)    NODENAME     TYPE    STATUS        MODE
   129     0x81  c0-0c2s0n1  compute        up       batch
   130     0x82  c0-0c2s0n2  compute        up       batch
   131     0x83  c0-0c2s0n3  compute        up       batch
   132     0x84  c0-0c2s1n0  compute        up       batch
   133     0x85  c0-0c2s1n1  compute        up       batch
   134     0x86  c0-0c2s1n2  compute        up       batch
   135     0x87  c0-0c2s1n3  compute        up       batch
   136     0x88  c0-0c2s2n0  compute        up       batch
   137     0x89  c0-0c2s2n1  compute        up       batch
   138     0x8a  c0-0c2s2n2  compute        up       batch
   139     0x8b  c0-0c2s2n3  compute        up       batch
   141     0x8d  c0-0c2s3n1  service        up       batch
   142     0x8e  c0-0c2s3n2  service        up       batch
   145     0x91  c0-0c2s4n1  service        up       batch
   146     0x92  c0-0c2s4n2  service        up       batch
   148     0x94  c0-0c2s5n0  compute        up       batch
   149     0x95  c0-0c2s5n1  compute        up       batch
   150     0x96  c0-0c2s5n2  compute        up       batch
   151     0x97  c0-0c2s5n3  compute        up       batch
   152     0x98  c0-0c2s6n0  compute        up       batch
   153     0x99  c0-0c2s6n1  compute        up       batch
   154     0x9a  c0-0c2s6n2  compute        up       batch
   155     0x9b  c0-0c2s6n3  compute        up       batch
   156     0x9c  c0-0c2s7n0  compute        up       batch
   157     0x9d  c0-0c2s7n1  compute        up       batch
   158     0x9e  c0-0c2s7n2  compute        up       batch
   159     0x9f  c0-0c2s7n3  compute        up       batch
   160     0xa0  c0-0c2s8n0  compute        up       batch
   161     0xa1  c0-0c2s8n1  compute        up       batch
   162     0xa2  c0-0c2s8n2  compute        up       batch
   163     0xa3  c0-0c2s8n3  compute        up       batch
   164     0xa4  c0-0c2s9n0  compute        up       batch
   165     0xa5  c0-0c2s9n1  compute        up       batch
   166     0xa6  c0-0c2s9n2  compute        up       batch
   167     0xa7  c0-0c2s9n3  compute        up       batch
   168     0xa8 c0-0c2s10n0  compute        up       batch
   169     0xa9 c0-0c2s10n1  compute        up       batch
   170     0xaa c0-0c2s10n2  compute        up       batch
   171     0xab c0-0c2s10n3  compute        up       batch
   172     0xac c0-0c2s11n0  compute        up       batch
   173     0xad c0-0c2s11n1  compute        up       batch
   174     0xae c0-0c2s11n2  compute        up       batch
   175     0xaf c0-0c2s11n3  compute        up       batch
   176     0xb0 c0-0c2s12n0  compute        up       batch
   177     0xb1 c0-0c2s12n1  compute        up       batch
   178     0xb2 c0-0c2s12n2  compute        up       batch
   179     0xb3 c0-0c2s12n3  compute        up       batch
   180     0xb4 c0-0c2s13n0  compute        up       batch
   181     0xb5 c0-0c2s13n1  compute        up       batch
   182     0xb6 c0-0c2s13n2  compute        up       batch
   183     0xb7 c0-0c2s13n3  compute        up       batch
   184     0xb8 c0-0c2s14n0  compute        up       batch
   185     0xb9 c0-0c2s14n1  compute        up       batch
   186     0xba c0-0c2s14n2  compute        up       batch
   187     0xbb c0-0c2s14n3  compute        up       batch
   188     0xbc c0-0c2s15n0  compute        up       batch
   189     0xbd c0-0c2s15n1  compute        up       batch
